candidateId,brand,productName,category,domain,sourceUrl,phaseCStatus,blockedReason
naver-54024915841,VDL,[VDL] 립스테인 에센셜 글로우 틴트,lip,m.a-bly.com,https://m.a-bly.com/goods/44228653?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=44228653,manual_review_required,terms_not_configured
naver-59075048820,데이지크,[미니 틴트 증정] 데이지크 쥬시 듀이 틴트 28 colors (단품/기획),lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000184327,manual_review_required,robots_fetch_failed_requires_manual_review
naver-49163477690,정샘물 뷰티,[정샘물뷰티] 정샘물 에센셜 스킨 누더 쿠션 리필 x 2개 (더블클린 수정화장패드 x 5매),base,m.a-bly.com,https://m.a-bly.com/goods/3093835?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3093835,manual_review_required,terms_not_configured
naver-56149298490,라카,[NEW컬러출시] 라카 모노 아이섀도우,shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000183472,manual_review_required,robots_fetch_failed_requires_manual_review
naver-60084440202,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 아이 팔레트 코어 6종 (아이 팔레트 코어 브러쉬),shadow,m.a-bly.com,https://m.a-bly.com/goods/69321238?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=69321238,manual_review_required,terms_not_configured
naver-55774345211,컬러그램,[포켓몬 에디션/모공블러셔]컬러그램 틴토리 솜 블러셔 14COLOR,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000228682,manual_review_required,robots_fetch_failed_requires_manual_review
naver-60464969790,라카,[라카 ][new] 퍼펙트 트윈 립 (10종),lip,chicor.com,https://chicor.com/goods/5100002077792?utm_source=naver&utm_medium=cpc&utm_campaign=ep,manual_review_required,terms_not_configured
naver-57800795317,페리페라,페리페라 올테이크 무드 라이크 팔레트,shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000183970,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56456062597,웨이크메이크,[NEW/헬시 치크] 웨이크메이크 쉐이킹 블러 치크 9COLOR,cheek,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000231339,manual_review_required,robots_fetch_failed_requires_manual_review
naver-60202637260,네이밍,[7월 올영픽/위위시헌쌤픽] 네이밍 하이 듀 립 글레이즈 (+미니틴트) 9colors,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000257218,manual_review_required,robots_fetch_failed_requires_manual_review
naver-57918547816,롬앤,롬앤 듀이풀 워터 틴트,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000158893,manual_review_required,robots_fetch_failed_requires_manual_review
