candidateId,brand,category,rankInBrandCategory,productName,priorityScore,selectedForBatch,missingCoreFieldCount,missingFieldGroups,detailCollectionStatus,fetchStatus,domain,sourceStrategy,sourceUrl
naver-54542216582,에스쁘아,liner,7,[에스쁘아] 아이 오프닝 펜슬,85.77,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,with.gsshop.com,naver_live_offer_title_rule_adapter,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1081972483&vodFlag=N&prdseqnum=1081972483&utm_source=price&utm_medium=affiliate&utm_campaign=naver
naver-59222565444,뮤드,liner,7,뮤드 아이래쉬 틴팅 세럼 샷 1개 세럼 샷 00 클리어,85.73,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,link.coupang.com,naver_live_offer_title_rule_adapter,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8474299176&ctag=8474299176&lptag=I28016631141&itemId=28016631141&vendorItemId=95335701913&spec=10305199
naver-58862149966,페리페라,brow,6,[페리페라] [2EA] 스피디 스키니 브로우 카라,85.55,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.wconcept.co.kr,naver_live_offer_title_rule_adapter,http://www.wconcept.co.kr/Product/308209702?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
naver-90001235923,컬러그램,brow,6,컬러그램 누디 블러 립펜슬 0.4g,85.52,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,smartstore.naver.com,naver_live_offer_title_rule_adapter,https://smartstore.naver.com/main/products/12456725176
naver-51883692316,네이밍,brow,6,[네이밍] 루트릿 아이브로우 펜슬 듀오 8809562558781,85.39,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,link.musinsa.com,naver_live_offer_title_rule_adapter,https://link.musinsa.com/app/goods/4608785?utm_source=naver_jisicshopping&utm_medium=sh&source=NVSH&utm_term={keyword}&utm_content={ad_group}
naver-52466581152,롬앤,brow,6,[롬앤] 한올 브로우 카라x2,85.39,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.wconcept.co.kr,naver_live_offer_title_rule_adapter,http://www.wconcept.co.kr/Product/305923814?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
naver-59689950917,투쿨포스쿨,brow,6,2EA 투쿨포스쿨 블리치 브로우 카라 3.4g 2colors 464061,85.36,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2658251138?sitmNo=LO2658251138_2658251139&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-60505279240,웨이크메이크,brow,6,웨이크메이크 파우더 젯 듀얼 브로우 07 뉴트럴 브라운 2개,85.31,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2336578742?sitmNo=LO2336578742_2336578743&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-60417822502,데이지크,brow,6,DASIQUE 프로 슬림 브로우 카라351985,85.28,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2698954105?sitmNo=LO2698954105_2698954106&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-60642526074,라카,brow,6,라카 픽시 브로우 카라 로즈버건디 6호,85.25,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2711791357?sitmNo=LO2711791357_2711791358&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
