candidateId,brand,productName,category,domain,collectionStatus,failureReason,sourceUrl
naver-56425945155,웨이크메이크,[1+1]웨이크메이크 철벽 브러쉬 아이라이너 3COLOR(1+1 기획),liner,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000130012
naver-54873428026,웨이크메이크,[NEW/트임라이너]웨이크메이크 리얼 디파이닝 펜슬 라이너 8COLOR,liner,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000227420
naver-56456048563,웨이크메이크,웨이크메이크 소프트 드로잉 슬림 브로우 4COLOR,brow,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000208272
naver-58572181779,웨이크메이크,[NEW/브로우맛집] 웨이크메이크 리얼 픽싱 슬림 브로우카라 5COLOR,brow,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000244390
naver-57705495648,웨이크메이크,[NEW/브로우픽서 증정] 웨이크메이크 내추럴 하드 브로우 펜슬 9COLOR (1+1기획),brow,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000178972
naver-56426874759,웨이크메이크,웨이크메이크 파우더 젯 듀얼 브로우 5COLOR,brow,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000197861
naver-59075048820,데이지크,[미니 틴트 증정] 데이지크 쥬시 듀이 틴트 28 colors (단품/기획),lip,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000184327
naver-60675904491,데이지크,[데이지크] 폴리포켓 수플레 컬러 팟,lip,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/72890448?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=72890448
naver-59999134087,데이지크,[데이지크] 무드 싱글 섀도우 40종,shadow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/53145563?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=53145563
naver-87817630982,데이지크,이런 상품 어때요? 데이지크 코렉팅 선 베이스 30ml SPF50 PA+++,base,shopping.naver.com,failed,no_useful_data,https://shopping.naver.com/outlink/itemdetail/10273127158
naver-49163458340,데이지크,[데이지크] 블렌딩 무드 치크,cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/4582150?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=4582150
naver-59660675985,데이지크,[데이지크] 미니 블렌딩 무드 치크,cheek,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/67205249?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=67205249
naver-57800793314,데이지크,[단독기획] 데이지크 무드 업 마스카라 롱앤컬 1+1기획 2 colors,liner,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000180888
naver-58626392722,데이지크,[데이지크] 프로 슬림 브로우 카라,brow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/60258625?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=60258625
naver-58626375492,데이지크,[데이지크] 프로 디테일 브로우 펜슬,brow,m.a-bly.com,failed,http_status:403,https://m.a-bly.com/goods/60250858?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=60250858
naver-56422599825,클리오,클리오 소프트 블렌딩 섀도우 스틱,shadow,www.oliveyoung.co.kr,failed,http_status:403,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000225194
