brand,category,rankInBrandCategory,productName,dataCompleteness,phaseCStatus,detailCollectionStatus,fetchStatus,detailBlockedReason,detailFailureReason,finish,texture,shadeOptionCount,sellingPoints,suitableFor,oliveYoungStatus,departmentStoreStatus,brandCountry,mallName,price,sourceUrl
롬앤,lip,1,롬앤 컬러 립 매트,failed_detail_fetch,manual_review_required,failed,http_error,robots_fetch_failed_requires_manual_review,http_status:403,matte,lipstick,0,,,listed,unknown,Korea,올리브영,9900,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000219477
롬앤,lip,2,롬앤 글래스팅 워터 틴트 | 올리브영,partial_detail,manual_review_required,collected_partial,playwright_rendered,robots_fetch_failed_requires_manual_review,,,tint,0,,,listed,unknown,Korea,올리브영,8900,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000136343
롬앤,lip,3,롬앤 듀이풀 워터 틴트 | 올리브영,partial_detail,manual_review_required,collected_partial,playwright_rendered,robots_fetch_failed_requires_manual_review,,,tint,0,,daily_makeup,listed,unknown,Korea,올리브영,9900,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000158893
롬앤,lip,4,[롬앤] 더 쥬시 래스팅 틴트,failed_detail_fetch,manual_review_required,failed,http_error,terms_not_configured,http_status:403,,tint,0,,,unknown,unknown,Korea,ABLY,13000,https://m.a-bly.com/goods/34585203?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=34585203&coupon_sno=50253092
롬앤,lip,5,[롬앤] 배어 물 틴트,blocked_detail_fetch,blocked,not_attempted,,robots_disallowed,,,,0,,,unknown,unknown,Korea,더블유컨셉,9900,http://www.wconcept.co.kr/Product/306054817?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
롬앤,lip,6,[롬앤] [NEW 컬러 추가]제로 벨벳 틴트 단품,blocked_detail_fetch,blocked,not_attempted,,robots_disallowed,,,,0,,,unknown,unknown,Korea,더블유컨셉,9900,http://www.wconcept.co.kr/Product/301448951?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
롬앤,lip,7,롬앤 블러 퍼지 틴트 11 푸시아 바이브,blocked_detail_fetch,blocked,not_attempted,,robots_disallowed,,,,0,,,unknown,unknown,Korea,롯데ON,8900,https://www.lotteon.com/p/product/LO2499705617?sitmNo=LO2499705617_2499705618&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
롬앤,lip,8,[롬앤] 더 쥬시 래스팅 틴트 X2,failed_detail_fetch,manual_review_required,failed,http_error,terms_not_configured,http_status:403,,tint,0,,,unknown,unknown,Korea,ABLY,26000,https://m.a-bly.com/goods/34585926?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=34585926&coupon_sno=50253092
롬앤,lip,9,[롬앤] [2개세트] 블러 퍼지 틴트x2,blocked_detail_fetch,blocked,not_attempted,,robots_disallowed,,,,0,,,unknown,unknown,Korea,더블유컨셉,20900,http://www.wconcept.co.kr/Product/305935765?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
롬앤,lip,10,[롬앤] [신규 컬러 추가/ BEST] 더 쥬시 래스팅 틴트,blocked_detail_fetch,blocked,not_attempted,,robots_disallowed,,,,0,,,unknown,unknown,Korea,더블유컨셉,10900,http://www.wconcept.co.kr/Product/301448890?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
롬앤,shadow,1,롬앤 슬라이드 인 싱글 | 올리브영,partial_detail,manual_review_required,collected_partial,playwright_rendered,robots_fetch_failed_requires_manual_review,,,powder,0,,,listed,unknown,Korea,올리브영,5400,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000212611
롬앤,shadow,2,[롬앤]베러댄팔레트6g,blocked_detail_fetch,blocked,not_attempted,,robots_disallowed,,,,0,,,unknown,listed,Korea,신세계라이브쇼핑,17370,https://www.shinsegaetvshopping.com/display/detail/70855366?inMediaCode=EC12&ckwhere=naverep
롬앤,shadow,3,[롬앤] 베러 댄 팔레트 (+ 총알 브러쉬 ),failed_detail_fetch,manual_review_required,failed,http_error,terms_not_configured,http_status:403,,powder,0,,,unknown,unknown,Korea,ABLY,28900,https://m.a-bly.com/goods/2199964?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2199964&coupon_sno=50253092
롬앤,shadow,4,[롬앤] [NEW/런칭특가] 슬라이드 인 싱글 1&1,blocked_detail_fetch,blocked,not_attempted,,robots_disallowed,,,,0,,,unknown,unknown,Korea,더블유컨셉,11900,http://www.wconcept.co.kr/Product/306391515?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
롬앤,shadow,5,롬앤 슬라이드 인 싱글 케이스 (섀도우 공용기) | 올리브영,partial_detail,manual_review_required,collected_partial,playwright_rendered,robots_fetch_failed_requires_manual_review,,,balm,0,,daily_makeup,listed,unknown,Korea,올리브영,5400,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000213963
롬앤,shadow,6,[롬앤] 베러 댄 팔레트,blocked_detail_fetch,blocked,not_attempted,,robots_disallowed,,,,0,,,unknown,unknown,Korea,더블유컨셉,23900,http://www.wconcept.co.kr/Product/301446185?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
롬앤,shadow,7,[롬앤] 베러 댄 아이즈,blocked_detail_fetch,blocked,not_attempted,,robots_disallowed,,,,0,,,unknown,unknown,Korea,더블유컨셉,14900,http://www.wconcept.co.kr/Product/301447103?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none
롬앤,shadow,8,롬앤 베러 댄 팔레트 - /R 아이 섀도우,blocked_detail_fetch,blocked,not_attempted,,robots_disallowed,,,,0,,,unknown,unknown,Korea,롯데ON,15900,https://www.lotteon.com/p/product/LO2373771885?sitmNo=LO2373771885_2373771886&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
롬앤,shadow,9,베러 댄 아이즈,complete_detail,manual_review_required,collected_complete,fetched,terms_not_configured,,,powder,8,,,unknown,unknown,Korea,시코르,13860,https://chicor.com/goods/0000000001178?utm_source=naver&utm_medium=cpc&utm_campaign=ep
롬앤,shadow,10,베러 댄 팔레트,complete_detail,manual_review_required,collected_complete,fetched,terms_not_configured,,,powder,10,,,unknown,unknown,Korea,시코르,22800,https://chicor.com/goods/0000000040309?utm_source=naver&utm_medium=cpc&utm_campaign=ep
롬앤,base,1,[롬앤X이나피스퀘어] 롬앤 누 제로 쿠션 | 올리브영,partial_detail,manual_review_required,collected_partial,playwright_rendered,robots_fetch_failed_requires_manual_review,,,cushion,0,,daily_makeup | natural_makeup,listed,unknown,Korea,올리브영,19900,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000164072
