priority,candidateId,brand,productName,category,targetFields,sourceUrls,allowedSourceHints,sourceAdapter,domain,robotsStatus,termsStatus,detailFetchDecision,extractedFields,phaseCStatus,blockedReason,needsManualReview
13,naver-49163536242,롬앤,[롬앤] 베러 댄 팔레트 (+ 총알 브러쉬 ),shadow,palette | colorFamily | finish | texture,https://m.a-bly.com/goods/2199964?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2199964&coupon_sno=50253092,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,manual_review_required,terms_not_configured,True
14,naver-52813470842,롬앤,[롬앤] [NEW/런칭특가] 슬라이드 인 싱글 1&1,shadow,palette | colorFamily | finish | texture,http://www.wconcept.co.kr/Product/306391515?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
15,naver-51616189391,롬앤,롬앤 슬라이드 인 싱글 케이스 (섀도우 공용기),shadow,palette | colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000213963,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
16,naver-28780183274,롬앤,[롬앤] 베러 댄 팔레트,shadow,palette | colorFamily | finish | texture,http://www.wconcept.co.kr/Product/301446185?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
17,naver-28780183276,롬앤,[롬앤] 베러 댄 아이즈,shadow,palette | colorFamily | finish | texture,http://www.wconcept.co.kr/Product/301447103?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
18,naver-50792684927,롬앤,롬앤 베러 댄 팔레트 - /R 아이 섀도우,shadow,palette | colorFamily | finish | texture,https://www.lotteon.com/p/product/LO2373771885?sitmNo=LO2373771885_2373771886&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
19,naver-33755400787,롬앤,[4구 팔레트] 롬앤 베러 댄 아이즈,shadow,palette | colorFamily | finish | texture,https://chicor.com/goods/0000000001178?utm_source=naver&utm_medium=cpc&utm_campaign=ep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,chicor.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,manual_review_required,terms_not_configured,True
20,naver-28269910687,롬앤,[10구 팔레트] 롬앤 베러 댄 팔레트,shadow,palette | colorFamily | finish | texture,https://chicor.com/goods/0000000040309?utm_source=naver&utm_medium=cpc&utm_campaign=ep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,chicor.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,manual_review_required,terms_not_configured,True
21,naver-57918539952,롬앤,[롬앤X이나피스퀘어] 롬앤 누 제로 쿠션,base,shadeName | undertone | finish | coverage | skinTypeTags,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000164072,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
22,naver-50107317315,롬앤,[롬앤] 베어 워터 쿠션 20g (본품),base,shadeName | undertone | finish | coverage | skinTypeTags,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1062918579&vodFlag=N&prdseqnum=1062918579&utm_source=price&utm_medium=affiliate&utm_campaign=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,with.gsshop.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,blocked,robots_disallowed,True
23,naver-50170356775,롬앤,[롬앤] 베어 워터 쿠션 20g (리필),base,shadeName | undertone | finish | coverage | skinTypeTags,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1063267915&vodFlag=N&prdseqnum=1063267915&utm_source=price&utm_medium=affiliate&utm_campaign=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,with.gsshop.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,blocked,robots_disallowed,True
24,naver-60300308548,롬앤,롬앤 누 제로 쿠션 15g (본품),base,shadeName | undertone | finish | coverage | skinTypeTags,http://www.w-shopping.co.kr/display/goods/21477851?mediaCode=MC44,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.w-shopping.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,manual_review_required,terms_not_configured,True
25,naver-55228086667,롬앤,롬앤 베어 워터 쿠션 20g (본품),base,shadeName | undertone | finish | coverage | skinTypeTags,http://www.w-shopping.co.kr/display/goods/21477849?mediaCode=MC44,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.w-shopping.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,manual_review_required,terms_not_configured,True
26,naver-55916644516,롬앤,롬앤 베어 워터 쿠션 20g (리필),base,shadeName | undertone | finish | coverage | skinTypeTags,http://www.w-shopping.co.kr/display/goods/21477848?mediaCode=MC44,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.w-shopping.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,manual_review_required,terms_not_configured,True
27,naver-60550417533,롬앤,[롬앤] 베어 워터 쿠션 20g (본품),base,shadeName | undertone | finish | coverage | skinTypeTags,https://www.lotteon.com/p/product/LO2705989337?sitmNo=LO2705989337_2705989340&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,blocked,robots_disallowed,True
28,naver-58612364321,롬앤,[롬앤] 누 제로 쿠션 15g (본품),base,shadeName | undertone | finish | coverage | skinTypeTags,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1062918573&vodFlag=N&prdseqnum=1062918573&utm_source=price&utm_medium=affiliate&utm_campaign=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,with.gsshop.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,blocked,robots_disallowed,True
29,naver-58612670445,롬앤,[롬앤] 누 제로 쿠션 15g (본품),base,shadeName | undertone | finish | coverage | skinTypeTags,https://www.lotteon.com/p/product/LO2345525872?sitmNo=LO2345525872_2345525877&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,blocked,robots_disallowed,True
30,naver-57395565164,롬앤,[NEW] 롬앤 | 미피 베어 워터 쿠션 기획/단품,base,shadeName | undertone | finish | coverage | skinTypeTags,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000175792,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
