priority,candidateId,brand,productName,category,targetFields,sourceUrls,allowedSourceHints,sourceAdapter,domain,robotsStatus,termsStatus,detailFetchDecision,extractedFields,phaseCStatus,blockedReason,needsManualReview
61,naver-44907623797,페리페라,페리페라 [CJ단독/더블구성]스피디 펜슬 라이너 [사은]잉크글래스팅립글로스미니(랜덤),liner,colorFamily | texture | intensity,https://display.cjonstyle.com/p/item/2024560681?infl_cd=I0696&utm_medium=pcs&utm_source=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,display.cjonstyle.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
62,naver-55400191676,VDL,[VDL] 아이스테인 에센셜 섀도우 듀오,shadow,palette | colorFamily | finish | texture,https://m.a-bly.com/goods/43648475?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=43648475,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetch_failed_requires_manual_review,not_configured,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
63,naver-59452749525,데이지크,데이지크 무드 섀도우 팔레트 04라이트라벤더,shadow,palette | colorFamily | finish | texture,https://www.lotteon.com/p/product/LO2645182864?sitmNo=LO2645182864_2645182865&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,blocked,robots_disallowed,True
64,naver-49163445416,롬앤,[롬앤] 베러 댄 치크,cheek,colorFamily | finish | texture,https://m.a-bly.com/goods/2012759?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2012759&coupon_sno=50253092,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetch_failed_requires_manual_review,not_configured,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
65,naver-57893694223,라카,라카 쿠션 커버 파운데이션 벨벳 매트 데일리 메이크업 본딩,base,shadeName | undertone | finish | coverage | skinTypeTags,https://www.lotteon.com/p/product/LO2581506806?sitmNo=LO2581506806_2581506807&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,coverage | finish | intensity | texture,blocked,robots_disallowed,True
66,naver-57918556957,클리오,클리오 킬커버 하이 글로우 쿠션(본품+리필 기획),base,shadeName | undertone | finish | coverage | skinTypeTags,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000188879,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,coverage | finish | texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
67,naver-50894865563,컬러그램,[꼬막눈 확장/듀오기획]컬러그램 음영 창조 라이너 10COLOR (기획/단품),liner,colorFamily | texture | intensity,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000162103,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
68,naver-45433111218,클리오,[1 +1] 클리오 프로 싱글 섀도우,shadow,palette | colorFamily | finish | texture,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1048129396&vodFlag=N&prdseqnum=1048129396&utm_source=price&utm_medium=affiliate&utm_campaign=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,with.gsshop.com,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
69,naver-40083254682,3CE,[3CE] 페이스 블러쉬+글로우 멀티 유즈 브러쉬,cheek,colorFamily | finish | texture,https://www.hmall.com/md/pda/itemPtc?ReferCode=429&slitmCd=2150800826&utm_source=naver&utm_medium=cps_pcs&utm_campaign=sale,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.hmall.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish | shadeName | shadeSource,blocked,robots_disallowed,True
70,naver-57407579505,네이밍,[품절대란/단종템부활] 네이밍 플러피 파우더 블러쉬,cheek,colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000171371,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,finish | texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
71,naver-56354126230,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 쿠션 블러쉬 블러 (글로스미니 로즈도즈),cheek,colorFamily | finish | texture,https://m.a-bly.com/goods/50435892?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=50435892,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetch_failed_requires_manual_review,not_configured,manual_review_required_before_detail_fetch,colorFamily | finish | texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
72,naver-59330543110,페리페라,페리페라 시럽피 톡 치크 13 Colors,cheek,colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000217779,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
73,naver-59678662082,네이밍,[7월 올영픽/여름지성쿠션] 네이밍 올데이 마스터 쿠션 리필 기획 (+부오이 파우치),base,shadeName | undertone | finish | coverage | skinTypeTags,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000251851,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
74,naver-50170356775,롬앤,[롬앤] 베어 워터 쿠션 20g (리필),base,shadeName | undertone | finish | coverage | skinTypeTags,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1063267915&vodFlag=N&prdseqnum=1063267915&utm_source=price&utm_medium=affiliate&utm_campaign=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,with.gsshop.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,blocked,robots_disallowed,True
75,naver-57535925915,정샘물 뷰티,[정샘물뷰티] 정샘물 에센셜 스킨 누더 쿠션(본품+리필),base,shadeName | undertone | finish | coverage | skinTypeTags,https://m.a-bly.com/goods/34025072?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=34025072,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetch_failed_requires_manual_review,not_configured,manual_review_required_before_detail_fetch,texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
