priority,candidateId,brand,productName,category,targetFields,sourceUrls,allowedSourceHints,sourceAdapter,domain,robotsStatus,termsStatus,detailFetchDecision,extractedFields,phaseCStatus,blockedReason,needsManualReview
101,naver-41567175906,에뛰드,[에뛰드] 드로잉 아이브로우 프로 3개 SET,brow,colorFamily | texture | intensity,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1036816256&vodFlag=N&prdseqnum=1036816256&utm_source=price&utm_medium=affiliate&utm_campaign=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,with.gsshop.com,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
102,naver-48002136790,에뛰드,[1+ 1][에뛰드] 프루프 10 젤 방수 펜슬,liner,colorFamily | texture | intensity,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1056381701&vodFlag=N&prdseqnum=1056381701&utm_source=price&utm_medium=affiliate&utm_campaign=naver,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,with.gsshop.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,blocked,robots_disallowed,True
103,naver-57540513604,컬러그램,컬러그램 음영 창조 라이너 02 30% 음영 자연스러운 음영 완성 2개,liner,colorFamily | texture | intensity,https://www.lotteon.com/p/product/LO2208112624?sitmNo=LO2208112624_2208112625&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,intensity,blocked,robots_disallowed,True
104,naver-60026997736,더샘,더샘 에코 소울 아이브로우 키트 5g,brow,colorFamily | texture | intensity,https://www.lotteon.com/p/product/LO2535643384?sitmNo=LO2535643384_2535643385&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
105,naver-58572181779,웨이크메이크,[NEW/브로우맛집] 웨이크메이크 리얼 픽싱 슬림 브로우카라 5COLOR,brow,colorFamily | texture | intensity,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000244390,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
106,naver-59662309545,더샘,더샘 [더샘][뉴코아 울산점] 어드밴스드 파워프루프 아이라이너 01 딥 블랙,liner,colorFamily | texture | intensity,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=3290910596&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare,brand_official | oliveyoung | naver_detail | manual,lotteimall_partner_url,www.lotteimall.com,fetched,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,intensity | shadeName | shadeSource,blocked,robots_disallowed,True
107,naver-59048859940,웨이크메이크,웨이크메이크 리얼 디파이닝 펜슬 라이너 - /R 아이라이너,liner,colorFamily | texture | intensity,https://www.lotteon.com/p/product/LO2627032744?sitmNo=LO2627032744_2627032745&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
108,naver-49596371287,VDL,[셀러허브_뷰티] VDL 엑스퍼트 스키니 아이 브로우 펜슬 01 다크브라운,brow,colorFamily | texture | intensity,http://gate.halfclub.com/naver?site_cd=1&type=detail_pcode&p1=P368679012&partnerid=naverdb,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,gate.halfclub.com,fetch_failed_requires_manual_review,not_configured,manual_review_required_before_detail_fetch,colorFamily | shadeName | shadeSource | texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
109,naver-60638631647,데이지크,데이지크 프로 디테일 브로우 펜슬 6 colors 4066473,brow,colorFamily | texture | intensity,https://www.lotteon.com/p/product/LO2711079993?sitmNo=LO2711079993_2711079994&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
110,naver-57800793314,데이지크,[단독기획] 데이지크 무드 업 마스카라 롱앤컬 1+1기획 2 colors,liner,colorFamily | texture | intensity,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000180888,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
