priorityScore,candidateId,brand,category,rankInBrandCategory,productName,manualCoreFields,alsoUsefulFields,currentPriceKrw,currentPurchaseUrl,currentImageUrl,officialSourceUrl,retailSourceUrl,sourceUrl,shadeOptionsCurrent,colorFamilyCurrent,undertoneCurrent,intensityCurrent,finishCurrent,textureCurrent,suitableForCurrent,sellingPointsCurrent,oliveYoungListedStatus,departmentStoreListedStatus,manualStatus,manualNotes
248,naver-53902254666,페리페라,shadow,7,페리페라 [NEW] 페리페라 무드 인 쉐이드 아이스틱,"colorFamily,finish,shadeOptions,texture,undertone","intensity,suitableFor,sellingPoints,oliveYoungListed",8960,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=2950695029&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare,https://shopping-phinf.pstatic.net/main_5390225/53902254666.1.jpg,,,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=2950695029&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare,[],,,,,,[],[],unknown,collected,todo,
228,naver-44905853047,클리오,lip,1,클리오 [NEW컬러출시] 크리스탈 글램 밤,"colorFamily,finish,shadeOptions,undertone","intensity,texture,suitableFor,sellingPoints,oliveYoungListed,departmentStoreListed",10780,https://display.cjonstyle.com/p/item/2024412267?infl_cd=I0696&utm_medium=pcs&utm_source=naver,https://shopping-phinf.pstatic.net/main_4490585/44905853047.5.jpg,,,https://display.cjonstyle.com/p/item/2024412267?infl_cd=I0696&utm_medium=pcs&utm_source=naver,[],,,,,balm,[],[],unknown,unknown,todo,
228,naver-40346289296,클리오,lip,8,클리오 [NEW 왕실 에디션]크리스탈 글램 틴트,"colorFamily,finish,shadeOptions,undertone","intensity,texture,suitableFor,sellingPoints,oliveYoungListed,departmentStoreListed",11120,https://display.cjonstyle.com/p/item/2015536002?infl_cd=I0696&utm_medium=pcs&utm_source=naver,https://shopping-phinf.pstatic.net/main_4034628/40346289296.8.jpg,,,https://display.cjonstyle.com/p/item/2015536002?infl_cd=I0696&utm_medium=pcs&utm_source=naver,[],,,,,tint,[],[],unknown,unknown,todo,
228,naver-45520646654,클리오,lip,9,클리오 [NEW] 크리스탈 글램 밤,"colorFamily,finish,shadeOptions,undertone","intensity,texture,suitableFor,sellingPoints,oliveYoungListed",11340,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=2525716323&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare,https://shopping-phinf.pstatic.net/main_4552064/45520646654.3.jpg,,,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=2525716323&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare,[],,,,,balm,[],[],unknown,collected,todo,
228,naver-41097800815,3CE,shadow,10,쓰리씨이 [3CE]멀티 아이 컬러 팔레트 (증)글로우 아이 포인트 브러쉬,"colorFamily,finish,texture,undertone","shadeOptions,intensity,suitableFor,sellingPoints,oliveYoungListed",30420,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=2299970864&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare,https://shopping-phinf.pstatic.net/main_4109780/41097800815.30.jpg,https://www.3cecosmetics.com/all-products/eyes/eyeshadow/3ce-multi-eye-color-palette,,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=2299970864&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare,"[{""colorFamily"": null, ""confidence"": 0.74, ""intensity"": ""sheer"", ""intensityConfidence"": 0.58, ""optionName"": ""3 CE MULTI EYE PALETTE"", ""shadeName"": ""CE MULTI EYE PALETTE"", ""shadeNumber"": ""3"", ""sourceType"": ""official_brand_page_title"", ""undertone"": null, ""undertoneConfidence"": 0}]",,,sheer,,,[],[],unknown,collected,todo,
228,naver-47416930039,에뛰드,shadow,3,[에뛰드] 재창조 메이커/듀얼 애교살 라이너,"colorFamily,finish,shadeOptions,undertone","intensity,texture,suitableFor,sellingPoints,oliveYoungListed",10720,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1054286364&vodFlag=N&prdseqnum=1054286364&utm_source=price&utm_medium=affiliate&utm_campaign=naver,https://shopping-phinf.pstatic.net/main_4741693/47416930039.2.jpg,,https://with.gsshop.com/prd/prd.gs?prdid=1054286364&fromWith=Y,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1054286364&vodFlag=N&prdseqnum=1054286364&utm_source=price&utm_medium=affiliate&utm_campaign=naver,[],,,,,liner,[],[],unknown,collected,todo,
228,naver-57023235174,에뛰드,shadow,4,[에뛰드] [Cafe in the deep] 뽀용 아이메이커 손님 그건 애교살이세요,"colorFamily,finish,shadeOptions,undertone","intensity,texture,suitableFor,sellingPoints,oliveYoungListed",15630,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1095148837&vodFlag=N&prdseqnum=1095148837&utm_source=price&utm_medium=affiliate&utm_campaign=naver,https://shopping-phinf.pstatic.net/main_5702323/57023235174.5.jpg,,https://with.gsshop.com/prd/prd.gs?prdid=1095148837&fromWith=Y,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1095148837&vodFlag=N&prdseqnum=1095148837&utm_source=price&utm_medium=affiliate&utm_campaign=naver,[],,,,,powder,[],[],unknown,collected,todo,
228,naver-35711275561,에뛰드,shadow,8,에뛰드하우스 블링블링 아이스틱 2개 /스틱 아이섀도우,"colorFamily,finish,shadeOptions,undertone","intensity,texture,suitableFor,sellingPoints,oliveYoungListed,departmentStoreListed",9270,https://display.cjonstyle.com/p/item/94817979?infl_cd=I0696&utm_medium=pcs&utm_source=naver,https://shopping-phinf.pstatic.net/main_3571127/35711275561.1.jpg,,,https://display.cjonstyle.com/p/item/94817979?infl_cd=I0696&utm_medium=pcs&utm_source=naver,[],,,,,powder,[],[],unknown,unknown,todo,
228,naver-54509116619,클리오,shadow,1,클리오 소프트 블렌딩 섀도우 스틱,"colorFamily,finish,shadeOptions,undertone","intensity,texture,suitableFor,sellingPoints,departmentStoreListed",10510,https://display.cjonstyle.com/p/item/2056344657?infl_cd=I0696&utm_medium=pcs&utm_source=naver,https://shopping-phinf.pstatic.net/main_5450911/54509116619.jpg,,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000225194,https://display.cjonstyle.com/p/item/2056344657?infl_cd=I0696&utm_medium=pcs&utm_source=naver,[],,,,,powder,[],[],collected,unknown,todo,
228,naver-39674404264,클리오,shadow,7,클리오 쉐이드 앤 섀도우 팔레트 [사은]프로아이섀도우브러쉬,"colorFamily,finish,shadeOptions,undertone","intensity,texture,suitableFor,sellingPoints,oliveYoungListed,departmentStoreListed",19390,https://display.cjonstyle.com/p/item/2007965506?infl_cd=I0696&utm_medium=pcs&utm_source=naver,https://shopping-phinf.pstatic.net/main_3967440/39674404264.11.jpg,,,https://display.cjonstyle.com/p/item/2007965506?infl_cd=I0696&utm_medium=pcs&utm_source=naver,[],,,,,powder,[],[],unknown,unknown,todo,
